[2022-12-13 11:22:15] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-13 11:22:15] [INFO   ] configuration file was loaded from resources directory.
[2022-12-13 11:23:08] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:23:09] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:09] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:09] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:09] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:11] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:11] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:23:12] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:12] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:23:12] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:12] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:23:12] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:12] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:12] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:12] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:13] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:13] [SEVERE ] removing player 1 token from slot 3
